source_lang,target_lang,translations
en,bn,62113
en,ur,46149
en,ta,42996
en,te,29423
en,pa,27843
en,hi,14545
en,ml,12661
ar,ur,12070
en,mr,8250
en,kn,7059
ur,skr,5888
en,ks,4968
en,si,4289
en,or,3779
en,sd,2593
en,gu,2380
en,ne,2211
en,as,1786
en,sat,1508
ur,sd,1147
ar,bn,826
ur,ps,816
bn,en,805
hi,pa,568
en,new,563
en,bh,551
es,bn,441
fa,ur,428
hi,gu,402
hi,ne,373
kn,tcy,334
bn,as,305
hi,ur,261
en,tcy,245
en,sa,230
hi,en,221
ml,en,195
hi,mr,193
en,mni,191
ur,en,165
ta,en,161
bn,hi,148
ur,pnb,143
ur,ks,130
gu,en,126
pa,ur,122
hi,te,119
te,en,94
simple,hi,89
en,awa,89
ur,bn,89
en,gom,88
simple,gu,83
en,mai,76
pa,hi,75
simple,pa,73
mr,en,72
ta,ml,72
ne,new,69
hi,bh,68
ar,ks,67
hi,bn,61
hi,sa,59
hi,kn,59
ps,ur,58
hi,uz,56
gu,hi,54
ar,sd,53
ur,hi,53
mr,ur,53
mr,hi,52
mr,gu,51
ur,ar,51
bn,ur,50
pnb,sd,49
en,anp,48
pa,en,46
as,bn,45
hi,as,42
pnb,ur,42
ne,dty,41
ne,en,40
simple,bn,39
kn,sa,38
or,sa,38
sd,ur,38
fa,sd,38
hi,sat,37
de,bn,36
si,en,36
es,hi,36
hi,mai,35
ru,ur,35
ur,fa,34
ur,pa,33
te,sa,33
tr,bn,32
ceb,ml,32
ml,ta,32
ml,sa,30
en,dty,30
kn,en,30
bn,ar,29
ta,te,28
ta,hi,28
ar,hi,28
ne,hi,27
hi,simple,27
ja,hi,27
simple,ur,25
or,en,24
hi,ks,24
as,en,24
simple,new,23
es,ur,23
ne,mai,23
simple,or,22
fr,hi,22
bn,simple,21
simple,te,21
fa,hi,21
id,hi,21
tg,ur,20
te,kn,19
te,hi,18
simple,ta,18
tt,ur,18
hi,ta,18
ta,ar,17
simple,si,17
de,hi,17
ar,sat,17
ja,as,16
bs,ur,16
hi,awa,16
hi,ml,16
id,si,15
ml,hi,15
or,sat,15
ta,simple,15
as,hi,15
pa,pnb,14
ar,ml,14
ta,ja,14
es,ne,14
kn,hi,14
fr,bn,14
hi,or,14
hi,new,13
fa,bn,13
pnb,pa,13
hi,anp,13
ja,bn,13
zh,bn,12
he,gu,12
pt,bn,12
ar,ta,12
tcy,kn,12
sa,te,11
ta,ko,11
pt,hi,11
bn,mr,11
ne,sa,11
kn,te,11
ta,si,11
simple,mr,11
eo,ur,11
he,bn,11
or,hi,10
kn,my,10
bn,fr,10
ru,hi,10
es,pa,10
mr,sa,10
en,bpy,10
ta,fr,10
sd,en,10
fr,si,9
bn,uk,9
tr,ur,9
hi,ko,9
km,or,9
fr,ks,9
gu,mr,9
pa,ta,9
bn,sa,8
ru,bn,8
es,mr,8
bn,ta,8
ku,sd,8
bn,bpy,8
simple,sd,8
bn,gu,8
ja,ta,8
bn,pa,8
te,bn,8
hi,hif,8
he,mr,8
mr,bn,8
ms,ta,8
hi,es,7
ta,gu,7
fr,gu,7
hi,ja,7
ml,te,7
bn,ne,7
bg,ur,7
as,mai,7
fr,ml,7
es,ta,7
ta,ms,7
az,ur,7
es,si,7
fr,ur,7
zh,ks,7
pa,mr,7
tr,ks,6
hi,ar,6
fa,pa,6
pa,ht,6
ru,pa,6
he,ur,6
zh,hi,6
bn,te,6
ta,ks,6
te,ta,6
eo,ml,6
ar,as,6
kk,ur,6
pa,ks,6
mai,hi,6
ko,ks,6
uz,ur,6
it,bn,6
de,ur,6
bn,es,5
te,ja,5
de,or,5
tr,hi,5
hi,zh,5
sd,fa,5
si,hi,5
fr,ta,5
bn,or,5
gu,ur,5
bn,sat,5
ja,si,5
fa,ks,5
nb,bn,5
sa,hi,5
af,ks,5
ur,tr,5
simple,ml,5
vi,ml,5
ta,kn,5
pl,ur,5
ja,mr,5
ne,bn,5
ko,bn,5
ro,or,5
hi,dty,5
id,ta,4
ml,ja,4
