month,target_lang,translations
2015-03,kn,4
2015-03,pa,6
2015-04,gu,40
2015-04,kn,9
2015-05,gu,28
2015-05,hi,8
2015-05,kn,8
2015-05,pa,2
2015-06,as,9
2015-06,bn,24
2015-06,bpy,1
2015-06,gu,29
2015-06,hi,22
2015-06,kn,3
2015-06,ks,2
2015-06,mai,1
2015-06,ml,9
2015-06,mr,5
2015-06,ne,9
2015-06,new,1
2015-06,or,7
2015-06,pi,1
2015-06,pnb,1
2015-06,sa,1
2015-06,sd,1
2015-06,si,1
2015-06,ta,8
2015-06,te,16
2015-06,ur,13
2015-07,as,4
2015-07,bn,9
2015-07,gu,23
2015-07,hi,11
2015-07,kn,7
2015-07,mai,2
2015-07,ml,7
2015-07,mr,3
2015-07,ne,8
2015-07,or,6
2015-07,pa,5
2015-07,pnb,2
2015-07,sa,1
2015-07,sd,1
2015-07,si,4
2015-07,ta,27
2015-07,te,11
2015-07,ur,20
2015-08,as,6
2015-08,bn,19
2015-08,gu,29
2015-08,hi,15
2015-08,kn,6
2015-08,ml,16
2015-08,mr,8
2015-08,ne,1
2015-08,or,8
2015-08,pa,8
2015-08,sd,117
2015-08,si,2
2015-08,ta,92
2015-08,te,6
2015-08,ur,34
2015-09,as,3
2015-09,bn,22
2015-09,dv,1
2015-09,gom,1
2015-09,gu,27
2015-09,hi,22
2015-09,kn,8
2015-09,ml,13
2015-09,mr,2
2015-09,ne,6
2015-09,or,4
2015-09,pa,1
2015-09,pnb,1
2015-09,sd,103
2015-09,si,7
2015-09,ta,67
2015-09,te,5
2015-09,ur,23
2015-10,as,2
2015-10,bn,27
2015-10,gu,13
2015-10,hi,19
2015-10,kn,2
2015-10,ks,1
2015-10,ml,15
2015-10,ne,3
2015-10,pa,109
2015-10,sa,2
2015-10,sd,17
2015-10,si,4
2015-10,ta,11
2015-10,te,3
2015-10,ur,33
2015-11,as,1
2015-11,bn,63
2015-11,gu,13
2015-11,hi,38
2015-11,kn,10
2015-11,ml,34
2015-11,ne,5
2015-11,or,3
2015-11,pa,189
2015-11,sd,14
2015-11,si,3
2015-11,ta,18
2015-11,te,3
2015-11,ur,19
2015-12,bn,191
2015-12,gu,101
2015-12,hi,48
2015-12,kn,8
2015-12,ml,5
2015-12,mr,3
2015-12,ne,1
2015-12,new,7
2015-12,or,1
2015-12,pa,129
2015-12,pnb,1
2015-12,sa,1
2015-12,sd,36
2015-12,si,6
2015-12,ta,12
2015-12,te,11
2015-12,ur,18
2016-01,as,1
2016-01,bn,127
2016-01,gom,4
2016-01,gu,91
2016-01,hi,45
2016-01,kn,80
2016-01,ml,16
2016-01,mr,3
2016-01,new,1
2016-01,or,2
2016-01,pa,125
2016-01,sd,5
2016-01,si,1
2016-01,ta,59
2016-01,te,9
2016-01,ur,42
2016-02,as,1
2016-02,bn,57
2016-02,bpy,1
2016-02,gom,3
2016-02,gu,25
2016-02,hi,14
2016-02,kn,21
2016-02,mai,1
2016-02,ml,51
2016-02,mr,7
2016-02,ne,6
2016-02,new,1
2016-02,or,3
2016-02,pa,72
2016-02,pnb,1
2016-02,sd,3
2016-02,si,8
2016-02,ta,40
2016-02,te,5
2016-02,ur,10
2016-03,bn,43
2016-03,bpy,1
2016-03,gom,1
2016-03,gu,21
2016-03,hi,18
2016-03,kn,2
2016-03,ml,57
2016-03,mr,4
2016-03,ne,3
2016-03,or,5
2016-03,pa,164
2016-03,sd,45
2016-03,si,2
2016-03,ta,17
2016-03,te,10
2016-03,ur,18
2016-04,as,9
2016-04,bn,31
2016-04,gu,30
2016-04,hi,19
2016-04,kn,4
2016-04,mai,1
2016-04,ml,60
2016-04,mr,8
2016-04,new,1
2016-04,or,3
2016-04,pa,24
2016-04,sd,21
2016-04,si,34
2016-04,ta,65
2016-04,te,9
2016-04,ur,19
2016-05,as,3
2016-05,bn,60
2016-05,dv,2
2016-05,gom,1
2016-05,gu,26
2016-05,hi,42
2016-05,kn,3
2016-05,ml,44
2016-05,mr,6
2016-05,ne,1
2016-05,or,2
2016-05,pa,87
2016-05,pi,1
2016-05,pnb,1
2016-05,sd,8
2016-05,si,6
2016-05,ta,19
2016-05,te,8
2016-05,ur,4
2016-06,as,9
2016-06,bn,78
2016-06,gu,34
2016-06,hi,9
2016-06,kn,1
2016-06,ml,20
2016-06,mr,4
2016-06,ne,1
2016-06,or,1
2016-06,pa,77
2016-06,pnb,7
2016-06,sd,36
2016-06,si,2
2016-06,ta,50
2016-06,te,2
2016-06,ur,13
2016-07,as,22
2016-07,bn,120
2016-07,gu,26
2016-07,hi,51
2016-07,kn,6
2016-07,mai,2
2016-07,ml,76
2016-07,mr,5
2016-07,ne,2
2016-07,pa,208
2016-07,pnb,8
2016-07,sa,1
2016-07,sd,151
2016-07,si,4
2016-07,ta,48
2016-07,te,71
2016-07,ur,16
2016-08,as,6
2016-08,bn,76
2016-08,gu,11
2016-08,hi,91
2016-08,kn,22
2016-08,mai,2
2016-08,ml,99
2016-08,mr,3
2016-08,ne,1
2016-08,or,2
2016-08,pa,109
2016-08,sa,4
2016-08,sd,5
2016-08,si,8
2016-08,ta,41
2016-08,tcy,5
2016-08,te,75
2016-08,ur,72
2016-09,as,1
2016-09,bn,36
2016-09,gu,23
2016-09,hi,32
2016-09,kn,1
2016-09,mai,5
2016-09,ml,64
2016-09,mr,4
2016-09,ne,2
2016-09,or,52
2016-09,pa,49
2016-09,pnb,1
2016-09,sa,1
2016-09,sd,30
2016-09,si,19
2016-09,ta,62
2016-09,tcy,2
2016-09,te,38
2016-09,ur,41
2016-10,as,20
2016-10,bn,26
2016-10,gu,6
2016-10,hi,24
2016-10,mai,5
2016-10,ml,208
2016-10,mr,6
2016-10,ne,11
2016-10,new,1
2016-10,or,200
2016-10,pa,74
2016-10,pnb,3
2016-10,sa,1
2016-10,sd,183
2016-10,si,12
2016-10,ta,26
2016-10,te,42
2016-10,ur,67
2016-11,as,11
2016-11,bn,73
2016-11,gu,13
2016-11,hi,34
2016-11,kn,2
2016-11,ml,119
2016-11,mr,2
2016-11,ne,37
2016-11,or,219
2016-11,pa,84
2016-11,sa,6
2016-11,sd,15
2016-11,si,11
2016-11,ta,16
2016-11,tcy,1
2016-11,te,62
2016-11,ur,24
2016-12,as,4
2016-12,bn,91
2016-12,gom,3
2016-12,gu,7
2016-12,hi,29
2016-12,kn,2
2016-12,ml,97
2016-12,mr,3
2016-12,ne,9
2016-12,or,439
2016-12,pa,126
2016-12,sa,1
2016-12,sd,2
2016-12,si,3
2016-12,ta,22
2016-12,te,47
2016-12,ur,18
2017-01,as,9
2017-01,bn,91
2017-01,gu,46
2017-01,hi,60
2017-01,ml,47
2017-01,mr,12
2017-01,ne,4
2017-01,or,179
2017-01,pa,127
2017-01,pnb,1
2017-01,si,3
2017-01,ta,70
2017-01,te,46
2017-01,ur,8
2017-02,as,1
2017-02,bn,164
2017-02,gu,94
2017-02,hi,40
2017-02,kn,2
2017-02,ml,44
2017-02,mr,2
2017-02,ne,18
