lexeme_id,lemma,category,senses,forms
L679056,-അം,suffix,2,1
L679067,-അടിക്കുക,suffix,1,1
L679054,-ആയ,suffix,1,1
L679055,-ആയി,suffix,1,1
L679060,-ആവുന്ന,suffix,1,1
L679065,-ആൻ,suffix,1,1
L679036,-ആൽ,suffix,1,1
L679035,-ഇൽ,suffix,1,1
L679046,-ഇൽ നിന്ന്,suffix,1,1
L679234,-ഉ,suffix,1,1
L679062,-ഉം,suffix,2,1
L679058,-ഉക,verb,1,1
L679031,-ഉടെ,suffix,1,1
L679053,-ഉള്ള,suffix,1,1
L679033,-എ,suffix,1,1
L679037,-ഏ,suffix,1,1
L679069,-ഓടെ,suffix,1,1
L679032,-ഓട്,suffix,1,1
L679086,-കരം,suffix,1,1
L679083,-കാരി,suffix,1,1
L580023,-കാരൻ,suffix,1,4
L679084,-കാർ,suffix,1,1
L679075,-കെട്ട,suffix,1,1
L679074,-കേട്,suffix,1,1
L679068,-കൊണ്ട്,suffix,2,1
L679070,-ക്ക,suffix,1,1
L679059,-ക്കുക,suffix,1,1
L679034,-ക്ക്,suffix,1,2
L579211,-കൾ,suffix,1,4
L679029,-ത,suffix,0,1
L679024,-ത്,suffix,1,1
L679025,-ത്വം,suffix,1,1
L679073,-നം,suffix,1,1
L679042,-ന്,suffix,1,1
L679030,-ന്റെ,suffix,1,1
L679071,-പരം,suffix,1,1
L679076,-പൂർണ്ണം,suffix,1,1
L679088,-പെട്ട,suffix,1,1
L679066,-പ്പെടുക,suffix,1,1
L678522,-പ്രതി,suffix,1,1
L679072,-പ്രദം,suffix,1,1
L527305,-ഭേദി,suffix,0,1
L679063,-മതി,suffix,1,1
L679064,-മാൻ,suffix,1,1
L679050,-മാർ,suffix,1,1
L679051,-വൻ,suffix,1,1
L679061,-വർ,suffix,1,1
L679052,-വൾ,suffix,1,1
L679085,-ശാല,suffix,1,1
L679049,-ൻ,suffix,1,1
L679047,-ർ,suffix,1,1
L679057,-ൽ,suffix,1,1
L455824,32-ബിറ്റ് കമ്പ്യൂട്ടിംഗ്,noun,1,1
L455593,آذٰانْ,noun,1,1
L544096,آڹْ,adverb,1,1
L480,اَمَّ,noun,2,16
L469615,اَوَۻْ,personal pronoun,1,8
L486,اَچًّنْ,noun,1,23
L477456,ا٘ڊُكُّكَ,verb,5,4
L1410215,بَزٰاڔْ,noun,1,0
L463958,تَعلُوقّْ,noun,1,18
L504,سَهُودَرَنْ,noun,1,35
L579238,سَهُودَرَنْ,proper noun,1,0
L458220,كَژِكُّكَ,verb,3,4
L500,كُڊُمبَمْ,noun,1,18
L458200,كٗڊُكُّكَ,verb,2,4
L2440,نِۼَّۻْ,pronoun,1,9
L489,ِسَهُودَر,noun,1,16
L1411,پَڹَمْ,noun,2,18
L455951,پٗيڔَ,noun,1,1
L2439,ڿَۼَّۻْ,pronoun,1,8
L582442,അ,letter,1,1
L453241,അ,noun,1,1
L678501,അ-,prefix,1,1
L582458,അം,letter,1,1
L453259,അം,noun,1,1
L413498,അംഗം,noun,1,19
L512049,അംഗകം,noun,0,14
L552224,അംഗക്രിയ,noun,0,14
L512520,അംഗക്ഷേപം,noun,0,14
L511894,അംഗകർമം,noun,0,14
L515835,അംഗഗ്രഹം,noun,0,14
L541826,അംഗചാരി,noun,0,14
L527979,അംഗജ,noun,0,16
L522508,അംഗജചാപം,noun,0,14
L519967,അംഗജതാപം,noun,0,14
L519926,അംഗജനാടകം,noun,0,14
L527152,അംഗജന്മാവ്,noun,0,16
L519031,അംഗജരസം,noun,0,14
L565265,അംഗജരിപു,noun,0,8
L559067,അംഗജലീല,noun,0,14
L553671,അംഗജവേദന,noun,0,14
L542316,അംഗജവൈരി,noun,0,14
L534986,അംഗജാരാതി,noun,0,14
L541865,അംഗജാരി,noun,0,14
L537974,അംഗജാർത്തി,noun,0,14
L511868,അംഗജ്വരം,noun,0,14
L553392,അംഗദ,noun,0,14
L553582,അംഗന,noun,1,14
L517347,അംഗനാപ്രിയം,noun,0,14
L517126,അംഗന്യാസം,noun,0,14
L530447,അംഗപടി,noun,0,14
L534469,അംഗപതി,noun,0,14
L512803,അംഗപ്രസാരണം,noun,0,14
L517775,അംഗപ്രായശ്ചിത്തം,noun,0,14
L504268,അംഗഭംഗം,noun,0,14
L550099,അംഗഭൂവ്,noun,0,14
L516364,അംഗമർദം,noun,0,14
L527398,അംഗമർദി,noun,0,14
L522921,അംഗമർഷം,noun,0,14
L506571,അംഗയജ്ഞം,noun,0,14
L531150,അംഗയഷ്ടി,noun,0,14
L518396,അംഗയോഗം,noun,0,14
L539831,അംഗയോനി,noun,0,14
L563154,അംഗരക്ഷ,noun,0,14
L503698,അംഗരക്ഷകൻ,noun,0,23
L514902,അംഗരഞ്ജനം,noun,0,14
L509111,അംഗരാഗം,noun,0,14
L508655,അംഗരുഹം,noun,0,14
L506816,അംഗലേപം,noun,0,14
L507256,അംഗവസ്ത്രം,noun,0,14
L506017,അംഗവാക്യം,noun,1,14
L1125818,അംഗവികല,adjective,0,0
L535605,അംഗവികൃതി,noun,0,14
L507073,അംഗവിക്ഷേപം,noun,0,14
L552034,അംഗവിദ്യ,noun,0,14
L538905,അംഗവിധി,noun,0,14
L531268,അംഗവേഷ്ടി,noun,0,14
L504597,അംഗവൈകല്യം,noun,1,14
L513945,അംഗവൈകൃതം,noun,0,14
L510449,അംഗവൈരൂപ്യം,noun,0,14
L512921,അംഗശോഷം,noun,0,14
L554182,അംഗസംജ്ഞ,noun,0,14
L455503,അംഗസംസ്കാരം,noun,1,14
L506473,അംഗസാദം,noun,0,14
L539460,അംഗഹാനി,noun,0,14
L514572,അംഗഹാരം,noun,0,14
L555428,അംഗാംഗിത,noun,0,14
L509865,അംഗാംഗീഭാവം,noun,0,14
L515831,അംഗാഗമം,noun,0,14
L509430,അംഗാരം,noun,0,14
L538724,അംഗാരകചതുർഥി,noun,0,14
L506789,അംഗാരകദിനം,noun,0,14
L526483,അംഗാരകനവമി,proper noun,0,7
L531440,അംഗാരകമണി,noun,0,14
L503371,അംഗാരകാരി,noun,0,16
L502999,അംഗാരകാരൻ,noun,0,18
L539406,അംഗാരധാനി,noun,0,14
L542414,അംഗാരപാത്രി,noun,0,14
L521663,അംഗാരപുഷ്പം,noun,0,14
L530322,അംഗാരഭോജി,noun,0,14
L531471,അംഗാരമണി,noun,0,14
L543455,അംഗാരരാശി,noun,0,14
L543052,അംഗാരവല്ലി,noun,0,14
L565090,അംഗാരവായു,noun,0,8
L557315,അംഗാരവാഹിക,noun,0,14
L565686,അംഗാരവേണു,noun,0,8
L530382,അംഗാരശകടി,noun,0,14
L517027,അംഗാരാമ്‌ളം,noun,0,14
L541810,അംഗാരി,noun,0,14
L556971,അംഗാരിക,noun,0,14
L534115,അംഗാരിണി,noun,0,14
L1125819,അംഗാരിത,adjective,0,0
L555506,അംഗാരിത,noun,0,14
L516749,അംഗാരിതം,noun,0,14
L564513,അംഗാര്യ,noun,0,16
L529524,അംഗി,noun,0,14
L556070,അംഗിക,noun,0,14
L552256,അംഗിക്രിയ,noun,0,14
L550246,അംഗിരസ്,noun,0,14
L512831,അംഗിവാക്യം,noun,1,14
L477460,അംഗീകരിക്കുക,verb,0,4
L1555,അംഗീകാരം,noun,3,14
L1125820,അംഗീകൃത,adjective,2,1
L565533,അംഗു,noun,0,8
L542213,അംഗുരി,noun,0,14
L508458,അംഗുരീയം,noun,0,14
L521358,അംഗുരീയകം,noun,0,14
L505249,അംഗുലം,noun,0,14
L538806,അംഗുലാസ്ഥി,noun,0,14
L529265,അംഗുലി,noun,0,14
L557162,അംഗുലിക,noun,0,14
L516760,അംഗുലിതോരണം,noun,0,14
L509148,അംഗുലിത്രം,noun,0,14
L516972,അംഗുലിത്രാണകം,noun,0,14
L513381,അംഗുലിപഞ്ചകം,noun,0,14
L520455,അംഗുലിമാനം,noun,0,14
L561853,അംഗുലിമുദ്ര,noun,0,14
