domain,month,desktop,mobile_web,mobile_app,total
anp.wikipedia.org,2023-03,16124,3842,6,19972
anp.wikipedia.org,2023-04,47050,20394,173,67617
anp.wikipedia.org,2023-05,50936,23050,292,74278
anp.wikipedia.org,2023-06,68664,44518,289,113471
anp.wikipedia.org,2023-07,61891,34790,355,97036
anp.wikipedia.org,2023-08,53954,40053,388,94395
anp.wikipedia.org,2023-09,57856,29165,400,87421
anp.wikipedia.org,2023-10,58975,55035,412,114422
anp.wikipedia.org,2023-11,68088,45674,359,114121
anp.wikipedia.org,2023-12,86048,66278,379,152705
anp.wikipedia.org,2024-01,49109,59185,488,108782
anp.wikipedia.org,2024-02,53056,74485,413,127954
anp.wikipedia.org,2024-03,60646,125916,396,186958
anp.wikipedia.org,2024-04,57525,193834,485,251844
anp.wikipedia.org,2024-05,50320,129120,533,179973
anp.wikipedia.org,2024-06,57641,103624,454,161719
anp.wikipedia.org,2024-07,30433,89457,433,120323
anp.wikipedia.org,2024-08,26218,73835,481,100534
anp.wikipedia.org,2024-09,19172,65105,414,84691
anp.wikipedia.org,2024-10,20866,60918,370,82154
anp.wikipedia.org,2024-11,24964,63221,329,88514
anp.wikipedia.org,2024-12,31737,51500,381,83618
anp.wikipedia.org,2025-01,45926,68026,538,114490
anp.wikipedia.org,2025-02,41128,53322,522,94972
anp.wikipedia.org,2025-03,21589,38817,288,60694
anp.wikipedia.org,2025-04,31652,42368,248,74268
anp.wikipedia.org,2025-05,26735,46149,267,73151
anp.wikipedia.org,2025-06,29095,44979,272,74346
anp.wikipedia.org,2025-07,95491,44023,262,139776
anp.wikipedia.org,2025-08,60789,44221,196,105206
anp.wikipedia.org,2025-09,57971,55311,153,113435
anp.wikipedia.org,2025-10,77794,60691,193,138678
anp.wikipedia.org,2025-11,63053,27096,153,90302
anp.wikipedia.org,2025-12,44807,40339,171,85317
anp.wikipedia.org,2026-01,36925,23983,227,61135
anp.wikipedia.org,2026-02,40909,23688,162,64759
anp.wikipedia.org,2026-03,39310,27274,317,66901
anp.wikipedia.org,2026-04,77517,21355,182,99054
anp.wikipedia.org,2026-05,95211,24250,184,119645
anp.wikipedia.org,2026-06,83156,24660,213,108029
anp.wikipedia.org,2026-07,72204,36723,238,109165
as.wikipedia.org,2015-07,268515,67975,1173,337663
as.wikipedia.org,2015-08,319934,64958,2726,387618
as.wikipedia.org,2015-09,267788,60751,2404,330943
as.wikipedia.org,2015-10,262783,60628,1419,324830
as.wikipedia.org,2015-11,202370,66154,3436,271960
as.wikipedia.org,2015-12,142876,51440,2630,196946
as.wikipedia.org,2016-01,231145,66757,2045,299947
as.wikipedia.org,2016-02,126432,53355,1884,181671
as.wikipedia.org,2016-03,135967,58539,1727,196233
as.wikipedia.org,2016-04,202139,66722,1252,270113
as.wikipedia.org,2016-05,489398,72119,1953,563470
as.wikipedia.org,2016-06,206429,63495,2167,272091
as.wikipedia.org,2016-07,125784,66386,1876,194046
as.wikipedia.org,2016-08,151670,83911,2173,237754
as.wikipedia.org,2016-09,793376,85214,2522,881112
as.wikipedia.org,2016-10,365587,80504,2915,449006
as.wikipedia.org,2016-11,207982,94321,3162,305465
as.wikipedia.org,2016-12,203490,80605,2480,286575
as.wikipedia.org,2017-01,171323,87261,2216,260800
as.wikipedia.org,2017-02,3343693,102619,3111,3449423
as.wikipedia.org,2017-03,204125,156527,3773,364425
as.wikipedia.org,2017-04,187913,152036,3978,343927
as.wikipedia.org,2017-05,184105,150322,5092,339519
as.wikipedia.org,2017-06,167601,151712,3594,322907
as.wikipedia.org,2017-07,169030,156315,3837,329182
as.wikipedia.org,2017-08,223732,224550,4940,453222
as.wikipedia.org,2017-09,284602,237379,5591,527572
as.wikipedia.org,2017-10,179774,284417,6957,471148
as.wikipedia.org,2017-11,197897,297476,6694,502067
as.wikipedia.org,2017-12,258217,243685,5137,507039
as.wikipedia.org,2018-01,184111,212193,4471,400775
as.wikipedia.org,2018-02,194772,224104,4226,423102
as.wikipedia.org,2018-03,159419,284497,5103,449019
as.wikipedia.org,2018-04,127837,268252,4462,400551
as.wikipedia.org,2018-05,169215,287782,7282,464279
