lang,project,domain,fetched,articles,pages,edits,users,activeusers,admins,images
anp,wikipedia,anp.wikipedia.org,2026-08-28,1694,5327,23133,4016,20,1,0
as,wikipedia,as.wikipedia.org,2026-08-28,25370,127207,632741,50779,138,6,2427
as,wikisource,as.wikisource.org,2026-08-28,4222,92411,258159,4493,14,4,239
as,wikiquote,as.wikiquote.org,2026-08-28,1350,3422,27429,1228,7,1,0
awa,wikipedia,awa.wikipedia.org,2026-08-28,2995,8003,34848,5510,25,2,0
bh,wikipedia,bh.wikipedia.org,2026-08-28,9192,82207,801353,40565,43,2,54
bn,wikipedia,bn.wikipedia.org,2026-08-28,190909,1425128,9122882,558388,1937,16,21756
bn,wiktionary,bn.wiktionary.org,2026-08-28,134016,181746,551981,16469,346,2,7
bn,wikisource,bn.wikisource.org,2026-08-28,38859,614514,1995851,22181,44,4,5476
bn,wikiquote,bn.wikiquote.org,2026-08-28,2906,13541,84352,6041,18,2,0
bn,wikibooks,bn.wikibooks.org,2026-08-28,4155,29262,107177,13811,19,2,1
bn,wikivoyage,bn.wikivoyage.org,2026-08-28,2405,7959,77135,6463,25,3,0
bpy,wikipedia,bpy.wikipedia.org,2026-08-28,25097,63419,895731,28366,18,2,35
dty,wikipedia,dty.wikipedia.org,2026-08-28,3759,22702,249302,8347,19,2,3
dv,wikipedia,dv.wikipedia.org,2026-08-28,3221,12503,137619,28566,22,2,882
dv,wiktionary,dv.wiktionary.org,2026-08-28,254,1313,9421,2877,6,1,2
gom,wikipedia,gom.wikipedia.org,2026-08-28,3644,8931,214409,11883,19,3,0
gom,wiktionary,gom.wiktionary.org,2026-08-28,2756,3484,27700,1202,6,2,0
gu,wikipedia,gu.wikipedia.org,2026-08-28,30909,136703,902957,86934,100,3,0
gu,wiktionary,gu.wiktionary.org,2026-08-28,684,6434,29285,3568,5,2,0
gu,wikisource,gu.wikisource.org,2026-08-28,65992,72281,224253,4630,14,2,0
gu,wikiquote,gu.wikiquote.org,2026-08-28,511,3189,18765,2870,4,1,0
hi,wikipedia,hi.wikipedia.org,2026-08-28,171077,1392385,6589724,922517,1005,8,4691
hi,wiktionary,hi.wiktionary.org,2026-08-28,184999,208002,487437,20341,24,2,0
hi,wikisource,hi.wikisource.org,2026-08-28,6050,188154,652523,6127,53,5,0
hi,wikiquote,hi.wikiquote.org,2026-08-28,937,6771,33139,5526,11,1,0
hi,wikibooks,hi.wikibooks.org,2026-08-28,1283,6752,83174,13486,12,2,0
hi,wikivoyage,hi.wikivoyage.org,2026-08-28,193,750,8551,2518,8,1,0
hi,wikiversity,hi.wikiversity.org,2026-08-28,335,4039,24822,2511,7,2,2
kn,wikipedia,kn.wikipedia.org,2026-08-28,35671,161275,1379396,99274,167,4,2358
