domain,month,rank,page,views
anp.wikipedia.org,2026-07,1,मुख्य_पृष्ठ,18978
anp.wikipedia.org,2026-07,2,कंप्यूटर,4135
anp.wikipedia.org,2026-07,3,हार्ड_डिस्क_ड्राइव,3982
anp.wikipedia.org,2026-07,4,विशेष:खोज,2219
anp.wikipedia.org,2026-07,5,विकिपीडिया:परिचय,2076
anp.wikipedia.org,2026-07,6,नरेश_पाण्डेय_चकोर,1439
anp.wikipedia.org,2026-07,7,विशेष:RecentChanges,1401
anp.wikipedia.org,2026-07,8,सम्राट_अशोक_महान,1025
anp.wikipedia.org,2026-07,9,विकिपीडिया:संपर्क_करौ,821
anp.wikipedia.org,2026-07,10,ऋग्वेद,782
anp.wikipedia.org,2026-07,11,सिंधु_घाटी_सभ्यता,744
anp.wikipedia.org,2026-07,12,Special:RecentChanges,742
anp.wikipedia.org,2026-07,13,रेड_क्रॉस,704
anp.wikipedia.org,2026-07,14,विकिपीडिया:मदद,665
anp.wikipedia.org,2026-07,15,कालिदास,620
anp.wikipedia.org,2026-07,16,विकिपीडिया:सामुदायिक_पोर्टल,610
anp.wikipedia.org,2026-07,17,धरती,572
anp.wikipedia.org,2026-07,18,कोफ़ी_अन्नान,557
anp.wikipedia.org,2026-07,19,इंकलाब_जिंदाबाद,546
anp.wikipedia.org,2026-07,20,फाईल:Districts_of_Jharkhand_map.svg,504
anp.wikipedia.org,2026-07,21,मोतिहारी,483
anp.wikipedia.org,2026-07,22,एंडीज_पर्वतमाला,463
anp.wikipedia.org,2026-07,23,विकिपीडिया:चौपाल,443
anp.wikipedia.org,2026-07,24,बंगाल_केरऽ_खाड़ी,369
anp.wikipedia.org,2026-07,25,इस्पात,367
anp.wikipedia.org,2026-07,26,विकिपीडिया,364
anp.wikipedia.org,2026-07,27,गोड्डा_जिला,334
anp.wikipedia.org,2026-07,28,विकिपीडिया:रेतमहल,308
anp.wikipedia.org,2026-07,29,शतरंज,287
anp.wikipedia.org,2026-07,30,फाईल:Anup_Bajpai_Dumka.jpg,278
anp.wikipedia.org,2026-07,31,अखाड़ी_पूजा,270
anp.wikipedia.org,2026-07,32,पंजाब,265
anp.wikipedia.org,2026-07,33,अकबर,260
anp.wikipedia.org,2026-07,34,हॉकी,256
anp.wikipedia.org,2026-07,34,प्रेमचंद,256
anp.wikipedia.org,2026-07,36,असम,251
anp.wikipedia.org,2026-07,37,वर्णमाला,250
anp.wikipedia.org,2026-07,38,कंठ-रोग,241
anp.wikipedia.org,2026-07,38,भारत,241
anp.wikipedia.org,2026-07,40,सिन्धु_घाटी_सभ्यता,228
anp.wikipedia.org,2026-07,41,साँचा:Infobox_scientist,227
anp.wikipedia.org,2026-07,42,लड़की,220
anp.wikipedia.org,2026-07,43,भागलपुर_जिला,212
anp.wikipedia.org,2026-07,44,विकिमीडिया_फाउंडेशन,197
anp.wikipedia.org,2026-07,45,लड़का,196
anp.wikipedia.org,2026-07,46,पर्यावरण_कानून,192
anp.wikipedia.org,2026-07,47,मार्टिन_लूथर,187
anp.wikipedia.org,2026-07,48,परमाणु,186
anp.wikipedia.org,2026-07,49,झारखंड_के_जिला_सूचि,179
anp.wikipedia.org,2026-07,50,जिला_मुख्यालय,176
as.wikipedia.org,2026-07,1,বেটুপাত,26759
as.wikipedia.org,2026-07,2,বিশেষ:শেহতীয়া_সালসলনি,9636
as.wikipedia.org,2026-07,3,জুবিন_গাৰ্গ,7514
as.wikipedia.org,2026-07,4,বিশেষ:সন্ধান,4524
as.wikipedia.org,2026-07,5,লক্ষ্মীনাথ_বেজবৰুৱা,3974
as.wikipedia.org,2026-07,6,শংকৰদেৱ,3653
as.wikipedia.org,2026-07,7,ভূপেন_হাজৰিকা,3359
as.wikipedia.org,2026-07,8,অসমৰ_ৰাষ্ট্ৰীয়_উদ্যান_আৰু_অভয়াৰণ্যসমূহৰ_তালিকা,2237
as.wikipedia.org,2026-07,9,জ্যোতিপ্ৰসাদ_আগৰৱালা,2194
as.wikipedia.org,2026-07,10,ককাদেউতা_নাতি_আৰু_হাতী,1989
as.wikipedia.org,2026-07,11,ৱিকিপিডিয়া:ইতিবৃত্ত,1970
as.wikipedia.org,2026-07,12,ৱিকিপিডিয়া:সাধাৰণ_দায়লুপ্তি,1814
