lang,start_date,end_date,rank,category_qid,category_en,edits,top_article_en
anp,2026-07-01,2026-08-29,1,5964,Авикипедиа:Акандидат_ирласу_аныхразы,1,Animal
as,2026-07-01,2026-08-29,1,1411417,India,636,Cockroach_Janta_Party
as,2026-07-01,2026-08-29,2,6156696,Dead_people,438,Zubeen_Garg
as,2026-07-01,2026-08-29,3,6994462,Indian_people,387,Zubeen_Garg
as,2026-07-01,2026-08-29,4,7238284,Assam,343,Chutia_kingdom
as,2026-07-01,2026-08-29,5,1983910,Hinduism,327,Xorai
as,2026-07-01,2026-08-29,6,1458083,Science,320,Friedrich_Nietzsche
as,2026-07-01,2026-08-29,7,4630,History_of_India,311,Chutia_kingdom
as,2026-07-01,2026-08-29,8,2944929,Culture,294,Assamese_language
as,2026-07-01,2026-08-29,9,1457595,History,286,Ahom_kingdom
as,2026-07-01,2026-08-29,10,1457402,Biology,274,List_of_culinary_fruits
as,2026-07-01,2026-08-29,11,8517490,History_of_Assam,234,Chutia_kingdom
as,2026-07-01,2026-08-29,12,4095812,Medicine,215,Jean_Piaget
as,2026-07-01,2026-08-29,13,1983674,Philosophy,200,Friedrich_Nietzsche
as,2026-07-01,2026-08-29,14,1457903,Religion,196,Hindutva
as,2026-07-01,2026-08-29,15,9715365,Culture_of_Assam,190,Xorai
as,2026-07-01,2026-08-29,16,6113906,Former_monarchies_of_India,183,Chutia_kingdom
as,2026-07-01,2026-08-29,17,1410960,United_States,179,Cameron_Diaz
as,2026-07-01,2026-08-29,18,1457673,Geography,175,Country
as,2026-07-01,2026-08-29,19,4103183,Politics,175,Cockroach_Janta_Party
as,2026-07-01,2026-08-29,20,7166293,Ahom_kingdom,173,Ahom_kingdom
as,2026-07-01,2026-08-29,21,1983760,Psychology,170,Existentialism
as,2026-07-01,2026-08-29,22,5849863,Writers,169,Arthur_Conan_Doyle
as,2026-07-01,2026-08-29,23,3919792,Actors,158,Cameron_Diaz
as,2026-07-01,2026-08-29,24,8259,Literature,153,Friedrich_Nietzsche
as,2026-07-01,2026-08-29,25,7291943,Culture_of_India,151,Bihu
awa,2026-07-01,2026-08-29,1,1457673,Geography,125,Sindhuli_District
awa,2026-07-01,2026-08-29,2,1983910,Hinduism,75,Jharkhand
awa,2026-07-01,2026-08-29,3,4026570,Countries,59,List_of_districts_in_India
awa,2026-07-01,2026-08-29,4,8259,Literature,27,Nobel_Prize
awa,2026-07-01,2026-08-29,5,106850619,उत्तर_प्रदेश_कय_शहरी_निकाय,21,Sandila
awa,2026-07-01,2026-08-29,6,1983832,Buddhism,15,Mount_Kailash
awa,2026-07-01,2026-08-29,7,7154072,Jainism,14,Mount_Kailash
awa,2026-07-01,2026-08-29,8,106850615,इतिहास,14,Awadh
awa,2026-07-01,2026-08-29,9,4103249,Education,13,Nicolaus_Copernicus
awa,2026-07-01,2026-08-29,10,1457903,Religion,7,Kerala
awa,2026-07-01,2026-08-29,11,5610307,South_America,5,Brazil
awa,2026-07-01,2026-08-29,12,7185534,Countries_in_South_America,4,Brazil
awa,2026-07-01,2026-08-29,13,106850625,खगोल_शास्‍त्र,3,June
awa,2026-07-01,2026-08-29,14,106850651,बेमारी,3,Tuberculosis
awa,2026-07-01,2026-08-29,15,106850653,भारत_कय_नदी,3,Gandaki_River
awa,2026-07-01,2026-08-29,16,5964,Авикипедиа:Акандидат_ирласу_аныхразы,2,Brazil
awa,2026-07-01,2026-08-29,17,1411579,Turkey,2,World_War_I
awa,2026-07-01,2026-08-29,18,4960490,Languages,2,Sanskrit
awa,2026-07-01,2026-08-29,19,1457982,Sports,1,Association_football
awa,2026-07-01,2026-08-29,20,8544901,Indian_cricketers,1,Shubman_Gill
awa,2026-07-01,2026-08-29,21,8744743,Sikhism,1,Diwali
bh,2026-07-01,2026-08-29,1,1411417,India,189,Shiva
bh,2026-07-01,2026-08-29,2,1983910,Hinduism,176,Shiva
bh,2026-07-01,2026-08-29,3,1457673,Geography,146,Island
bh,2026-07-01,2026-08-29,4,2944929,Culture,126,Shiva
bh,2026-07-01,2026-08-29,5,1458083,Science,109,होमो_सेपियंस
bh,2026-07-01,2026-08-29,6,6834346,Indian_writers,93,Rabindranath_Tagore
bh,2026-07-01,2026-08-29,7,6994462,Indian_people,78,Rabindranath_Tagore
bh,2026-07-01,2026-08-29,8,1457595,History,75,Shiva
bh,2026-07-01,2026-08-29,9,7130675,Hindi-language_writers,75,Gopal_Singh_Nepali
bh,2026-07-01,2026-08-29,10,1457903,Religion,68,Shiva
bh,2026-07-01,2026-08-29,11,6156696,Dead_people,68,Rabindranath_Tagore
bh,2026-07-01,2026-08-29,12,7023926,Sanskrit_words_and_phrases,64,Shiva
bh,2026-07-01,2026-08-29,13,6315948,Shaivism,59,Shiva
bh,2026-07-01,2026-08-29,14,8514373,Hindu_deities,58,Shiva
bh,2026-07-01,2026-08-29,15,1458521,Earth,57,Island
bh,2026-07-01,2026-08-29,16,6528153,Physical_geography,56,Island
bh,2026-07-01,2026-08-29,17,1457551,Earth_sciences,55,Island
bh,2026-07-01,2026-08-29,18,4049293,Nature,55,Island
bh,2026-07-01,2026-08-29,19,5849863,Writers,55,Rabindranath_Tagore
bh,2026-07-01,2026-08-29,20,6884057,Hindu_mythology,55,Shiva
bh,2026-07-01,2026-08-29,21,8514335,Hindi-language_poets,55,Rabindranath_Tagore
bh,2026-07-01,2026-08-29,22,6200002,गायब_निधन_तिथि_वाला_जीवनी_लेख,54,Gopal_Singh_Nepali
bh,2026-07-01,2026-08-29,23,7214270,Hindu_gods,54,Shiva
bh,2026-07-01,2026-08-29,24,7291943,Culture_of_India,53,Raksha_Bandhan
bh,2026-07-01,2026-08-29,25,4630,History_of_India,50,Indus_Valley_Civilisation
bn,2026-07-01,2026-08-29,1,1411417,India,2204,Sumitra_Devi_(actress)
bn,2026-07-01,2026-08-29,2,1455458,Bangladesh,1964,Mirza_Fakhrul_Islam_Alamgir
bn,2026-07-01,2026-08-29,3,1410960,United_States,1309,2026_FIFA_World_Cup
bn,2026-07-01,2026-08-29,4,6994462,Indian_people,1306,Udham_Singh
bn,2026-07-01,2026-08-29,5,8297423,Bengali_writers,1291,AKM_Yusuf
bn,2026-07-01,2026-08-29,6,5611338,Association_football,1286,2026_FIFA_World_Cup
bn,2026-07-01,2026-08-29,7,8287974,Bangladesh_Nationalist_Party_politicians,1211,Mirza_Nurul_Huda
bn,2026-07-01,2026-08-29,8,6301435,20th-century_politicians,1207,Kim_Il_Sung
bn,2026-07-01,2026-08-29,9,8287971,Awami_League_politicians,1156,Mohammed_Shahabuddin
bn,2026-07-01,2026-08-29,10,8866836,Unions_of_Bangladesh,1116,শশীদল_ইউনিয়ন
bn,2026-07-01,2026-08-29,11,7068600,Bangladeshi_politicians,1088,Mirza_Nurul_Huda
bn,2026-07-01,2026-08-29,12,1457595,History,1077,International_Youth_Day
