lang,start_date,end_date,rank,category_qid,category_en,views,top_article_en
anp,2026-07-01,2026-08-29,1,5964,Авикипедиа:Акандидат_ирласу_аныхразы,2232,Earth
anp,2026-07-01,2026-08-29,2,6681506,SI_units,243,Thermometer
as,2026-07-01,2026-08-29,1,1411417,India,189473,Zubeen_Garg
as,2026-07-01,2026-08-29,2,1458083,Science,77688,Sexual_intercourse
as,2026-07-01,2026-08-29,3,6156696,Dead_people,127977,Zubeen_Garg
as,2026-07-01,2026-08-29,4,7238284,Assam,104629,Zubeen_Garg
as,2026-07-01,2026-08-29,5,1983910,Hinduism,72494,Assam
as,2026-07-01,2026-08-29,6,1457402,Biology,54364,Sexual_intercourse
as,2026-07-01,2026-08-29,7,4966070,Calendars,31358,Season
as,2026-07-01,2026-08-29,8,2944929,Culture,64979,Srinivasa_Ramanujan
as,2026-07-01,2026-08-29,9,8271423,Assamese-language_books,27852,মোৰো_এটা_সপোন_আছে
as,2026-07-01,2026-08-29,10,1457673,Geography,56237,Assam
as,2026-07-01,2026-08-29,11,9715365,Culture_of_Assam,40396,Kamakhya_Temple
as,2026-07-01,2026-08-29,12,8271426,Assamese-language_films,19166,ককাদেউতা_নাতি_আৰু_হাতী
as,2026-07-01,2026-08-29,13,8271443,Assamese-language_writers,51443,Lakshminath_Bezbarua
as,2026-07-01,2026-08-29,14,33079499,অসমীয়া_ব্যাকৰণ,15905,ফকৰা_যোজনা
as,2026-07-01,2026-08-29,15,8517490,History_of_Assam,37753,Sankardev
as,2026-07-01,2026-08-29,16,8271447,Assamese_literature,26991,Kirtan_Ghosha
as,2026-07-01,2026-08-29,17,1457109,Plants,25522,অসমৰ_বনৌষধি
as,2026-07-01,2026-08-29,18,1410960,United_States,18399,English_language
as,2026-07-01,2026-08-29,19,1457756,Society,35558,Sexual_intercourse
as,2026-07-01,2026-08-29,20,8259,Literature,32387,Vande_Mataram
as,2026-07-01,2026-08-29,21,6994462,Indian_people,84250,Zubeen_Garg
as,2026-07-01,2026-08-29,22,7166293,Ahom_kingdom,25288,Ahom_kingdom
as,2026-07-01,2026-08-29,23,6984975,Assam-related_lists,27512,List_of_protected_areas_of_Assam
as,2026-07-01,2026-08-29,24,8764125,Religious_buildings_and_structures_in_Assam,12463,Kamakhya_Temple
as,2026-07-01,2026-08-29,25,1984000,Islam,13665,Battle_of_Karbala
awa,2026-07-01,2026-08-29,1,1983910,Hinduism,294663,Hanuman_Chalisa
awa,2026-07-01,2026-08-29,2,1457673,Geography,19283,India
awa,2026-07-01,2026-08-29,3,8544901,Indian_cricketers,2594,Rohit_Sharma
awa,2026-07-01,2026-08-29,4,8259,Literature,3236,Ramcharitmanas
awa,2026-07-01,2026-08-29,5,4960490,Languages,2610,Awadhi_language
awa,2026-07-01,2026-08-29,6,1457982,Sports,1997,Kabaddi
awa,2026-07-01,2026-08-29,7,106850615,इतिहास,1574,Anglo-Nepalese_War
awa,2026-07-01,2026-08-29,8,1457903,Religion,3305,Hinduism
awa,2026-07-01,2026-08-29,9,4103249,Education,1149,ISBN
awa,2026-07-01,2026-08-29,10,106850665,राजनीति,680,Politics
awa,2026-07-01,2026-08-29,11,7154072,Jainism,2027,Chandragupta_Maurya
awa,2026-07-01,2026-08-29,12,106850619,उत्तर_प्रदेश_कय_शहरी_निकाय,798,Varanasi
awa,2026-07-01,2026-08-29,13,1983832,Buddhism,1500,Maurya_Empire
awa,2026-07-01,2026-08-29,14,4026570,Countries,11513,India
awa,2026-07-01,2026-08-29,15,106850651,बेमारी,251,Leprosy
awa,2026-07-01,2026-08-29,16,5610307,South_America,1954,Argentina
awa,2026-07-01,2026-08-29,17,4014375,Web_browsers,173,Web_browser
awa,2026-07-01,2026-08-29,18,5964,Авикипедиа:Акандидат_ирласу_аныхразы,1558,India
awa,2026-07-01,2026-08-29,19,106850658,भौतिकी,109,Physics
awa,2026-07-01,2026-08-29,20,1411579,Turkey,273,Turkey
awa,2026-07-01,2026-08-29,21,106850622,ऑस्ट्रेलियाई_क्रिकेट_खेलाड़ी,81,Shane_Watson
awa,2026-07-01,2026-08-29,22,106850664,रसायनशास्‍त्र,68,1-Heptacosanol
awa,2026-07-01,2026-08-29,23,7484215,Airports_in_Nepal,53,Tribhuvan_International_Airport
awa,2026-07-01,2026-08-29,24,106850644,पदार्थ_विज्ञान,65,Iron
awa,2026-07-01,2026-08-29,25,106850613,अर्थशास्त्र,89,Currency_symbol
bh,2026-07-01,2026-08-29,1,5625203,Gambling,212333,Sports_betting
bh,2026-07-01,2026-08-29,2,1411417,India,120410,List_of_districts_of_Bihar
bh,2026-07-01,2026-08-29,3,1457673,Geography,69122,Amazon_rainforest
bh,2026-07-01,2026-08-29,4,7214518,Sex,39380,Sex_position
bh,2026-07-01,2026-08-29,5,4966070,Calendars,27969,Month
bh,2026-07-01,2026-08-29,6,1983910,Hinduism,50468,Baidyanath_Temple
bh,2026-07-01,2026-08-29,7,1458083,Science,37299,Sexual_intercourse
bh,2026-07-01,2026-08-29,8,1410960,United_States,24541,Mia_Khalifa
bh,2026-07-01,2026-08-29,9,7477590,Статии_с_невалиден_параметър_за_дата_в_шаблона,25815,XNXX
bh,2026-07-01,2026-08-29,10,8299881,Bihar,35937,List_of_districts_of_Bihar
bh,2026-07-01,2026-08-29,11,5631254,Alphabets,8921,बारहखड़ी
bh,2026-07-01,2026-08-29,12,1457402,Biology,27559,Sexual_intercourse
bh,2026-07-01,2026-08-29,13,7214259,Information_technology,14229,ट्रिपल_सी
bh,2026-07-01,2026-08-29,14,4630,History_of_India,29290,B._R._Ambedkar
bh,2026-07-01,2026-08-29,15,7146649,Uttar_Pradesh,19480,Administrative_divisions_of_Uttar_Pradesh
bh,2026-07-01,2026-08-29,16,1457109,Plants,9486,Sugar
bh,2026-07-01,2026-08-29,17,7217118,Television_series,5639,Motu_Patlu
bh,2026-07-01,2026-08-29,18,7030483,Indian_politicians,26079,Narendra_Modi
bh,2026-07-01,2026-08-29,19,4049595,Internet,16308,Search_engine_optimization
bh,2026-07-01,2026-08-29,20,2944929,Culture,32574,Mawlid
bh,2026-07-01,2026-08-29,21,7214658,Cities_and_towns_in_India,17797,Varanasi
bh,2026-07-01,2026-08-29,22,7085149,Nepal,10438,Nepal
bh,2026-07-01,2026-08-29,23,1457595,History,30828,Mawlid
bh,2026-07-01,2026-08-29,24,6968517,Rivers_of_India,12236,Godavari_River
