lang,labels_total,india_items_with_label,india_items_total,lexemes
anp,252840,355,912073,254
as,589992,3267,912073,13
awa,362490,915,912073,3
bh,388922,2667,912073,15
bn,10315880,43436,912073,11798
bpy,356303,4941,912073,1
dty,255457,176,912073,1
dv,524198,109,912073,7
gom,941819,510,912073,2
gu,606360,25222,912073,123
hi,863837,70783,912073,2613
ks,576660,2169,912073,107
mai,272588,1436,912073,3
mr,562582,11857,912073,82
ne,310692,2868,912073,23
or,495587,7370,912073,284
pa,573630,17434,912073,3781
pi,259667,34,912073,14
pnb,496541,3636,912073,0
sa,468981,2611,912073,1466
sd,404462,458,912073,258
si,220065,743,912073,13
ur,1914736,31874,912073,2610
doi,0,0,912073,0
mag,6186,1219,912073,5
khw,154058,4,912073,18
kn,537957,12639,912073,26
ml,3580569,65882,912073,67372
ta,626057,56394,912073,1074
tcy,255108,619,912073,6
te,640616,52819,912073,87
sat,324037,12745,912073,138
mni,254690,328,912073,3
new,337661,28301,912073,3
lus,463244,14,912073,5
brx,0,0,912073,0
