lang,language,family,script,status,project,dbname,domain,closed,first_revision,first_edit_month,first_active_month,inception_wikidata,launch_date,review_dates
anp,Angika,indo-aryan,Devanagari,include,wikipedia,anpwiki,anp.wikipedia.org,,2004-08-11T04:19:22Z,2004-08,2005-07,2023-03-22,2023-03-22,
as,Assamese,indo-aryan,Bengali-Assamese,include,wikipedia,aswiki,as.wikipedia.org,,2002-06-02T16:16:59Z,2002-06,2004-05,2002-06-02,2002-06-02,
as,Assamese,indo-aryan,Bengali-Assamese,include,wiktionary,aswiktionary,as.wiktionary.org,yes,2004-01-29T14:42:02Z,,,,,
as,Assamese,indo-aryan,Bengali-Assamese,include,wikisource,aswikisource,as.wikisource.org,,2004-10-03T19:59:09Z,2004-10,2006-12,2011-11-24,,yes
as,Assamese,indo-aryan,Bengali-Assamese,include,wikiquote,aswikiquote,as.wikiquote.org,,2008-08-02T17:56:53Z,2008-08,2021-08,,,yes
as,Assamese,indo-aryan,Bengali-Assamese,include,wikibooks,aswikibooks,as.wikibooks.org,yes,2004-08-01T14:33:03Z,,,,,
awa,Awadhi,indo-aryan,Devanagari,include,wikipedia,awawiki,awa.wikipedia.org,,2005-11-15T05:04:21Z,2005-11,2006-03,2020-05-21,2020-05-21,
bh,Bhojpuri,indo-aryan,Devanagari,include,wikipedia,bhwiki,bh.wikipedia.org,,2001-08-14T11:18:51Z,2001-08,2002-10,,2003-02-21,
bh,Bhojpuri,indo-aryan,Devanagari,include,wiktionary,bhwiktionary,bh.wiktionary.org,yes,2004-01-29T13:47:31Z,,,,,
bn,Bengali,indo-aryan,Bengali-Assamese,include,wikipedia,bnwiki,bn.wikipedia.org,,2004-01-27T16:45:54Z,2004-01,2004-02,2004-01-27,2004-01-27,
bn,Bengali,indo-aryan,Bengali-Assamese,include,wiktionary,bnwiktionary,bn.wiktionary.org,,2004-01-29T14:24:51Z,2004-01,2004-06,,,
bn,Bengali,indo-aryan,Bengali-Assamese,include,wikisource,bnwikisource,bn.wikisource.org,,2004-08-04T22:09:53Z,2004-08,2006-02,2007-09-25,,yes
bn,Bengali,indo-aryan,Bengali-Assamese,include,wikiquote,bnwikiquote,bn.wikiquote.org,,2004-05-31T21:06:56Z,2004-05,2004-10,2022-10-10,,yes
bn,Bengali,indo-aryan,Bengali-Assamese,include,wikibooks,bnwikibooks,bn.wikibooks.org,,2004-08-10T09:33:04Z,2004-08,2005-12,,,yes
bn,Bengali,indo-aryan,Bengali-Assamese,include,wikivoyage,bnwikivoyage,bn.wikivoyage.org,,2004-06-21T18:46:12Z,2004-06,2014-01,2018-06-08,,yes
bpy,Bishnupriya Manipuri,indo-aryan,Bengali-Assamese,include,wikipedia,bpywiki,bpy.wikipedia.org,,2006-08-03T20:05:35Z,2006-08,2006-10,,2006-09-30,
dty,Doteli,indo-aryan,Devanagari,include,wikipedia,dtywiki,dty.wikipedia.org,,2002-07-25T11:59:02Z,2002-07,2002-07,2017-04-27,2017-04-24,
dv,Dhivehi,indo-aryan,Thaana,include,wikipedia,dvwiki,dv.wikipedia.org,,2004-08-28T14:33:31Z,2004-08,2004-12,2007-01-01,2004-08-28,
dv,Dhivehi,indo-aryan,Thaana,include,wiktionary,dvwiktionary,dv.wiktionary.org,,2004-12-05T18:33:22Z,2004-12,2005-12,,,
gom,Konkani,indo-aryan,Devanagari and Latin,include,wikipedia,gomwiki,gom.wikipedia.org,,2004-01-20T19:48:58Z,2004-01,2004-02,2015-07-01,2015-06-16,
gom,Konkani,indo-aryan,Devanagari and Latin,include,wiktionary,gomwiktionary,gom.wiktionary.org,,2005-11-28T23:00:57Z,2005-11,2007-04,2020-05-20,,yes
gu,Gujarati,indo-aryan,Gujarati,include,wikipedia,guwiki,gu.wikipedia.org,,2002-09-30T02:27:37Z,2002-09,2004-01,2004-07-01,2004-07-01,
gu,Gujarati,indo-aryan,Gujarati,include,wiktionary,guwiktionary,gu.wiktionary.org,,2004-01-29T15:06:38Z,2004-01,2004-01,,,
gu,Gujarati,indo-aryan,Gujarati,include,wikisource,guwikisource,gu.wikisource.org,,2004-04-27T14:23:15Z,2004-04,2004-11,2012-03-25,,yes
gu,Gujarati,indo-aryan,Gujarati,include,wikiquote,guwikiquote,gu.wikiquote.org,,2004-05-31T21:06:56Z,2004-05,2004-10,,,
gu,Gujarati,indo-aryan,Gujarati,include,wikibooks,guwikibooks,gu.wikibooks.org,yes,2004-08-28T11:33:22Z,,,,,
hi,Hindi,indo-aryan,Devanagari,include,wikipedia,hiwiki,hi.wikipedia.org,,2001-11-15T03:32:17Z,2001-11,2003-07,2003-07-11,2003-07-11,
hi,Hindi,indo-aryan,Devanagari,include,wiktionary,hiwiktionary,hi.wiktionary.org,,2003-12-05T06:42:07Z,2003-12,2003-12,,,
hi,Hindi,indo-aryan,Devanagari,include,wikisource,hiwikisource,hi.wikisource.org,,2003-12-05T06:42:07Z,2003-12,2005-04,2019-10-08,,yes
hi,Hindi,indo-aryan,Devanagari,include,wikiquote,hiwikiquote,hi.wikiquote.org,,2004-02-22T20:20:21Z,2004-02,2005-04,,,yes
hi,Hindi,indo-aryan,Devanagari,include,wikibooks,hiwikibooks,hi.wikibooks.org,,2004-05-28T12:51:39Z,2004-05,2004-07,,,
hi,Hindi,indo-aryan,Devanagari,include,wikivoyage,hiwikivoyage,hi.wikivoyage.org,,2013-01-15T09:28:13Z,2013-01,2013-01,2017-09-25,,yes
hi,Hindi,indo-aryan,Devanagari,include,wikiversity,hiwikiversity,hi.wikiversity.org,,2004-05-31T21:06:56Z,2004-05,2004-10,,,
kn,Kannada,dravidian,Kannada,include,wikipedia,knwiki,kn.wikipedia.org,,2002-05-26T03:32:40Z,2002-05,2003-01,2003-06-12,2003-06-01,
kn,Kannada,dravidian,Kannada,include,wiktionary,knwiktionary,kn.wiktionary.org,,2004-01-29T11:44:13Z,2004-01,2004-01,2004-01-29,,
kn,Kannada,dravidian,Kannada,include,wikisource,knwikisource,kn.wikisource.org,,2004-05-31T21:06:56Z,2004-05,2004-10,2006-06-03,,yes
kn,Kannada,dravidian,Kannada,include,wikiquote,knwikiquote,kn.wikiquote.org,,2004-09-27T10:33:08Z,2004-09,2004-11,2004-09-27,,
